Comment,Designator,Footprint,JLCPCB Part #
100k,"R18,R19,R20,R21,R22,R23,R24,R25",0201,C270364
USB_C_Plug,P1,SMD,C165948
510,R4,0201,C18164337
100nf,"C3,C5",0201,C76934
AZ1117-3.3,U2,SOT-223,C7432020
4.7k,"R16,R17",0201,C270346
5.1k,"R5,R6",0201,C270344
Si1308EDL,"Q1,Q2",SOT-323,C7603347
Q_Dual_PNP_PNP_E1B1C2E2B2C1,"Q11,Q6,Q8,Q9",SOT-363,C154783
150,"R12,R13,R14,R3",0201,C7467287
D_TVS,"D2,D3,D4,D5,D6",0201,C521888
100,R2,0201,C304499
SW_Push,"SW1,SW2","SMD,3.9x2.9mm",C202388
22uF,"C1,C6",0603,C59461
1uF,C4,0603,C15849
LED_RGB,D1,SMD5050-8P,C6795892
10k,"R1,R10,R11,R15",0603,C25804
20,"R7,R8",0201,C320753
Q_PMOS_GSD,"Q10,Q12,Q3,Q4,Q5,Q7",SOT-23-3,C968645
10uF,C2,0603,C19702
,,,
,,,
,,,
Comment,Designator,Footprint,JLCPCB Part #
5.6,"R2,R3,R4",1206,C137246
Q_NMOS_GSD(RDsON),Q5,SOT-23,C78755
100k,R5,603,C25803
12,R1,1206,C17913
470,R7,603,C23179